
NODE_1320954,NODE_1330974
NODE_1319039,NODE_1337123
NODE_1340884,NODE_1319722
NODE_1341372,NODE_1320160
NODE_1320160,NODE_1341370
NODE_1320389,NODE_1320959
NODE_1340879,NODE_1320957
NODE_1339919,NODE_1340874
NODE_1342431,NODE_1339917
NODE_1330940,NODE_1342431
NODE_1339916,NODE_1330940
NODE_1331203,NODE_1339203
NODE_1340881,NODE_1322045
NODE_1322045,NODE_1342064
NODE_1342063,NODE_1342450
NODE_1342450,NODE_1342062
NODE_1342062,NODE_1322044
NODE_1322044,NODE_1342061
NODE_1342059,NODE_1340883
NODE_1322043,NODE_1342059
NODE_1320967,NODE_1342058
NODE_1342058,NODE_1341390
NODE_1342057,NODE_1341391
NODE_1322042,NODE_1322043
NODE_1340873,NODE_1339911
NODE_1339910,NODE_1342447
NODE_1345805,NODE_1320175
NODE_1320175,NODE_1339919
NODE_1339909,NODE_1339910
NODE_1339911,NODE_1339908
NODE_1339908,NODE_1339907
NODE_1330938,NODE_1330937
NODE_1330937,NODE_1319057
NODE_1319057,NODE_1339388
NODE_1339388,NODE_1339913
NODE_1339913,NODE_1339387
NODE_1339387,NODE_1339914
NODE_1339914,NODE_1339386
NODE_1339386,NODE_1330939
NODE_1330939,NODE_1319429
NODE_1319429,NODE_1331203
NODE_1342056,NODE_1322042
NODE_1342061,NODE_1342055
NODE_1322041,NODE_1342054
NODE_1342053,NODE_1341869
NODE_1341867,NODE_1322040
NODE_1322039,NODE_1341865
NODE_1341864,NODE_1335577
NODE_1322038,NODE_1341863
NODE_1339203,NODE_1337743
NODE_1337743,NODE_1339915
NODE_1339915,NODE_1339385
NODE_1339385,NODE_1319054
NODE_1319054,NODE_1339916
NODE_1339917,NODE_1319428
NODE_1319428,NODE_1339918
NODE_1339918,NODE_1339384
NODE_1339384,NODE_1339383
NODE_1319427,NODE_1345781
NODE_1335582,NODE_1319427
NODE_1341374,NODE_1341860
NODE_1340697,NODE_1335625
NODE_1335625,NODE_1322036
NODE_1322036,NODE_1341374
NODE_1341860,NODE_1320972
NODE_1320972,NODE_1322037
NODE_1341540,NODE_1341861
NODE_1341861,NODE_1341539
NODE_1341539,NODE_1320165
NODE_1320165,NODE_1341538
NODE_1341538,NODE_1320971
NODE_1320971,NODE_1341862
NODE_1341862,NODE_1335620
NODE_1335620,NODE_1322038
NODE_1319425,NODE_1339379
NODE_1339378,NODE_1321736
NODE_1321736,NODE_1319425
NODE_1339379,NODE_1339377
NODE_1339377,NODE_1339380
NODE_1339380,NODE_1336428
NODE_1336428,NODE_1339376
NODE_1339376,NODE_1338958
NODE_1338958,NODE_1336634
NODE_1336634,NODE_1319426
NODE_1319426,NODE_1339375
NODE_1339375,NODE_1339381
NODE_1339381,NODE_1319424
NODE_1319424,NODE_1335574
NODE_1335574,NODE_1339374
NODE_1339374,NODE_1339382
NODE_1339382,NODE_1339373
NODE_1339373,NODE_1339372
NODE_1339372,NODE_1335582
NODE_1341863,NODE_1341537
NODE_1341537,NODE_1341864
NODE_1335577,NODE_1341536
NODE_1341536,NODE_1320970
NODE_1320970,NODE_1322039
NODE_1341865,NODE_1331531
NODE_1331531,NODE_1319580
NODE_1319580,NODE_1337736
NODE_1337736,NODE_1341866
NODE_1341866,NODE_1341535
NODE_1341535,NODE_1341868
NODE_1322040,NODE_1320969
NODE_1320969,NODE_1342053
NODE_1341869,NODE_1341534
NODE_1341534,NODE_1322041
NODE_1342054,NODE_1341394
NODE_1341394,NODE_1345830
NODE_1330975,NODE_1319045
NODE_1320968,NODE_1345829
NODE_1345829,NODE_1341393
NODE_1341393,NODE_1341392
NODE_1341392,NODE_1342057
NODE_1339944,NODE_1340696
NODE_1340696,NODE_1320503
NODE_1345799,NODE_1319423
NODE_1319423,NODE_1319042
NODE_1339199,NODE_1339371
NODE_1339371,NODE_1331524
NODE_1339369,NODE_1339370
NODE_1339367,NODE_1339368
NODE_1339366,NODE_1319422
NODE_1339194,NODE_1339366
NODE_1339192,NODE_1335635
NODE_1342448,NODE_1341196
