

 Zonafogyasztasok kiszamitasa, adatfajl: alapzonamodell9.spr

 	 A_1                    :	   0.12 m3/h	 zona :   0.12 m3/h
 	 A_Z020-12755           :	   0.04 m3/h	 zona : 1690.21 m3/h
 	 A_Z020-13106           :	   0.08 m3/h	 zona : 1690.29 m3/h
 	 A_Z020-13124           :	   0.04 m3/h	 zona : 1690.33 m3/h
 	 A_Z020-13520           :	   1.21 m3/h	 zona : 1691.54 m3/h
 	 A_Z020-14096           :	   0.14 m3/h	 zona : 1691.68 m3/h
 	 A_Z020-14222           :	 275.34 m3/h	 zona : 1967.02 m3/h
 	 A_Z020-14598           :	 418.89 m3/h	 zona : 2385.91 m3/h
 	 A_Z020-14677           :	  46.71 m3/h	 zona : 2432.61 m3/h
 	 A_Z020-16004           :	   0.92 m3/h	 zona : 2433.53 m3/h
 	 A_Z020-16209           :	   0.59 m3/h	 zona : 2434.13 m3/h
 	 A_Z020-16653           :	   0.25 m3/h	 zona : 2434.37 m3/h
 	 A_Z020-16943           :	   0.72 m3/h	 zona : 2435.09 m3/h
 	 A_Z020-17160           :	   0.16 m3/h	 zona : 2435.25 m3/h
 	 A_Z020-17708           :	   0.63 m3/h	 zona : 2435.89 m3/h
 	 A_Z020-19767           :	   1.47 m3/h	 zona : 2437.36 m3/h
 	 A_Z020-19833           :	   0.55 m3/h	 zona : 2437.91 m3/h
 	 A_Z020-19854           :	   0.37 m3/h	 zona : 2438.28 m3/h
 	 A_Z020-20077           :	   0.72 m3/h	 zona : 2439.00 m3/h
 	 A_Z020-20258           :	   0.00 m3/h	 zona : 2439.00 m3/h
 	 A_Z020-20595           :	   0.02 m3/h	 zona : 2439.02 m3/h
 	 A_Z020-21397           :	   3.13 m3/h	 zona : 2442.14 m3/h
 	 A_Z020-22371           :	   0.10 m3/h	 zona : 2442.25 m3/h
 	 A_Z020-22452           :	   0.02 m3/h	 zona : 2442.27 m3/h
 	 A_Z020-23334           :	   0.72 m3/h	 zona : 2442.98 m3/h
 	 A_Z20-RADNOTI          :	   0.14 m3/h	 specialis csomopont

 Alapzona  osszesen: 2442.98 m3/h


 Zonafogyasztasok kiszamitasa, adatfajl: alapzonamodell9.spr

 	 K_1457                 :	   6.55 m3/h	 zona :   6.55 m3/h
 	 K_1638                 :	   0.58 m3/h	 zona :   7.12 m3/h
 	 K_1776                 :	   3.42 m3/h	 zona :  10.54 m3/h
 	 K_2312                 :	   1.34 m3/h	 zona :  11.88 m3/h
 	 K_2673                 :	  15.94 m3/h	 zona :  27.83 m3/h
 	 K_2700                 :	   8.12 m3/h	 zona :  35.94 m3/h
 	 K_2798                 :	   0.99 m3/h	 zona :  36.93 m3/h
 	 K_2823                 :	   1.88 m3/h	 zona :  38.82 m3/h
 	 K_3441                 :	   0.67 m3/h	 zona :  39.49 m3/h
 	 K_3826                 :	   2.01 m3/h	 zona :  41.50 m3/h
 	 K_4042                 :	  11.60 m3/h	 zona :  53.10 m3/h
 	 K_4473                 :	   0.83 m3/h	 zona :  53.93 m3/h
 	 K_4526                 :	  10.35 m3/h	 zona :  64.28 m3/h
 	 K_4590                 :	   3.10 m3/h	 zona :  67.38 m3/h
 	 K_522                  :	   3.00 m3/h	 zona :  70.38 m3/h
 	 K_5425                 :	   3.23 m3/h	 zona :  73.61 m3/h
 	 K_5460                 :	   5.11 m3/h	 zona :  78.72 m3/h
 	 K_5462                 :	   2.33 m3/h	 zona :  81.05 m3/h
 	 K_5762                 :	   2.14 m3/h	 zona :  83.19 m3/h
 	 K_7082                 :	   0.83 m3/h	 zona :  84.03 m3/h
 	 K_734                  :	   1.69 m3/h	 zona :  85.72 m3/h
 	 K_7536                 :	   3.67 m3/h	 zona :  89.39 m3/h
 	 K_754                  :	   1.44 m3/h	 zona :  90.83 m3/h
 	 K_CINKOTA_MED          :	   1.34 m3/h	 zona :  92.17 m3/h
 	 K_FERIHEGYI_RCS_GH     :	   0.29 m3/h	 zona :  92.46 m3/h
 	 K_FERIHEGYI_RH_GH      :	   0.48 m3/h	 zona :  92.94 m3/h
 	 K_GILICE_UJ_KEPE_GH    :	   5.27 m3/h	 specialis csomopont
 	 K_KOBANYA_GH           :	   0.06 m3/h	 specialis csomopont
 	 K_MATYASFOLDI_GH       :	   1.66 m3/h	 zona :  94.60 m3/h
 	 K_RSZM_GH              :	   0.00 m3/h	 specialis csomopont
 	 K_SIBRIK_UTI_GH        :	   0.06 m3/h	 zona :  94.66 m3/h

 Kelet-Pest  osszesen: 94.6645 m3/h


   BUILDING SOLVER INPUT FILES...
======================================

   IDOSZAK: 1
-------------------------------
   kivant fogyasztasok: Alapzona   : 2804 m3/h
                        Kelet Pest : 1656 m3/h

 Zonafogyasztasok modositasa, adatfajl: FV_input_2012_11_06_barlang_nelkul_1.spr,  Alapzona

 	 A_1                    :	   0.12 m3/h	 ->   0.14 m3/h (ellenorzes: Q=0.140832 m3/h)
 	 A_113                  :	   0.14 m3/h	 ->   0.16 m3/h (ellenorzes: Q=0.164304 m3/h)
 	 A_36                   :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_ARPAD_UT             :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_BARLANG_HNY          :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_BEKAS_PUM            :	  14.17 m3/h	 specialis csomopont
 	 A_BM-ROKA              :	 326.62 m3/h	 -> 374.89 m3/h (ellenorzes: Q=374.888 m3/h)
 	 A_BUDAFOK              :	 388.63 m3/h	 -> 446.06 m3/h (ellenorzes: Q=446.057 m3/h)
 	 A_BUDAORSI_UT          :	   0.00 m3/h	 specialis csomopont
 	 A_CSEPEL_BF            :	   0.00 m3/h	 specialis csomopont
 	 A_FELSOJH_GH           :	   0.00 m3/h	 specialis csomopont
 	 A_GILICE_UJ_GH         :	   0.00 m3/h	 specialis csomopont
 	 A_JOZSEF_A             :	   0.08 m3/h	 ->   0.09 m3/h (ellenorzes: Q=0.0938874 m3/h)
 	 A_KM4_Q1200            :	   0.72 m3/h	 ->   0.82 m3/h (ellenorzes: Q=0.821518 m3/h)
 	 A_KM4_Q1400            :	   0.14 m3/h	 ->   0.16 m3/h (ellenorzes: Q=0.164304 m3/h)
 	 A_KM4_Q1600            :	   0.02 m3/h	 specialis csomopont
 	 A_KOB_TOV              :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_KPM1-3               :	   0.08 m3/h	 specialis csomopont
 	 A_KRISZTINA_UJ         :	   0.00 m3/h	 specialis csomopont
 	 A_NAGYKIKI             :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_NODE265              :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_NODE570              :	   0.00 m3/h	 specialis csomopont
 	 A_SANCGH               :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_SASI                 :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_SZARVASTER           :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_UJPEST_GH            :	 101.80 m3/h	 -> 116.85 m3/h (ellenorzes: Q=116.847 m3/h)
 	 A_UTEG_GH              :	  97.15 m3/h	 -> 111.50 m3/h (ellenorzes: Q=111.502 m3/h)
 	 A_VARI                 :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_Z01-0035             :	   1.00 m3/h	 ->   1.15 m3/h (ellenorzes: Q=1.15012 m3/h)
 	 A_Z01-0107             :	   6.50 m3/h	 ->   7.46 m3/h (ellenorzes: Q=7.46408 m3/h)
 	 A_Z01-0138             :	   1.68 m3/h	 ->   1.92 m3/h (ellenorzes: Q=1.9247 m3/h)
 	 A_Z01-0337             :	   0.16 m3/h	 ->   0.19 m3/h (ellenorzes: Q=0.187775 m3/h)
 	 A_Z01-0656             :	   0.84 m3/h	 ->   0.96 m3/h (ellenorzes: Q=0.962349 m3/h)
 	 A_Z01-0966             :	   1.84 m3/h	 ->   2.11 m3/h (ellenorzes: Q=2.11247 m3/h)
 	 A_Z01-1031             :	   1.72 m3/h	 ->   1.97 m3/h (ellenorzes: Q=1.97164 m3/h)
 	 A_Z01-1302             :	   1.94 m3/h	 ->   2.23 m3/h (ellenorzes: Q=2.22983 m3/h)
 	 A_Z01-1489             :	   2.37 m3/h	 ->   2.72 m3/h (ellenorzes: Q=2.72275 m3/h)
 	 A_Z01-1540             :	   4.48 m3/h	 ->   5.14 m3/h (ellenorzes: Q=5.14035 m3/h)
 	 A_Z01-1571             :	   0.10 m3/h	 ->   0.12 m3/h (ellenorzes: Q=0.11736 m3/h)
 	 A_Z01-1574             :	   1.31 m3/h	 ->   1.50 m3/h (ellenorzes: Q=1.50221 m3/h)
 	 A_Z01-1614             :	 289.17 m3/h	 -> 331.90 m3/h (ellenorzes: Q=331.899 m3/h)
 	 A_Z01-2606             :	  12.86 m3/h	 ->  14.76 m3/h (ellenorzes: Q=14.7639 m3/h)
 	 A_Z01-2862             :	   1.41 m3/h	 ->   1.62 m3/h (ellenorzes: Q=1.61956 m3/h)
 	 A_Z01-3301             :	 141.25 m3/h	 -> 162.13 m3/h (ellenorzes: Q=162.127 m3/h)
 	 A_Z020-00067           :	   0.04 m3/h	 ->   0.05 m3/h (ellenorzes: Q=0.0469439 m3/h)
 	 A_Z020-00076           :	   0.14 m3/h	 ->   0.16 m3/h (ellenorzes: Q=0.164304 m3/h)
 	 A_Z020-00246           :	   0.04 m3/h	 ->   0.05 m3/h (ellenorzes: Q=0.0469439 m3/h)
 	 A_Z020-00262           :	   0.65 m3/h	 ->   0.75 m3/h (ellenorzes: Q=0.751102 m3/h)
 	 A_Z020-00294           :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_Z020-00334           :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_Z020-00335           :	   0.43 m3/h	 ->   0.49 m3/h (ellenorzes: Q=0.492911 m3/h)
 	 A_Z020-00496           :	   0.55 m3/h	 ->   0.63 m3/h (ellenorzes: Q=0.633742 m3/h)
 	 A_Z020-00676           :	   0.22 m3/h	 ->   0.26 m3/h (ellenorzes: Q=0.258191 m3/h)
 	 A_Z020-00768           :	   0.84 m3/h	 ->   0.96 m3/h (ellenorzes: Q=0.962349 m3/h)
 	 A_Z020-00775           :	   0.25 m3/h	 ->   0.28 m3/h (ellenorzes: Q=0.281663 m3/h)
 	 A_Z020-01421           :	   1.17 m3/h	 ->   1.34 m3/h (ellenorzes: Q=1.3379 m3/h)
 	 A_Z020-01639           :	   8.09 m3/h	 ->   9.29 m3/h (ellenorzes: Q=9.29069 m3/h)
 	 A_Z020-01683           :	   0.41 m3/h	 ->   0.47 m3/h (ellenorzes: Q=0.469439 m3/h)
 	 A_Z020-01701           :	   0.06 m3/h	 ->   0.07 m3/h (ellenorzes: Q=0.0704158 m3/h)
 	 A_Z020-01815           :	   0.33 m3/h	 ->   0.38 m3/h (ellenorzes: Q=0.375552 m3/h)
 	 A_Z020-01823           :	   0.67 m3/h	 ->   0.77 m3/h (ellenorzes: Q=0.774574 m3/h)
 	 A_Z020-01981           :	   0.72 m3/h	 ->   0.82 m3/h (ellenorzes: Q=0.821518 m3/h)
 	 A_Z020-02008           :	   3.34 m3/h	 ->   3.83 m3/h (ellenorzes: Q=3.83011 m3/h)
 	 A_Z020-02046           :	   0.37 m3/h	 ->   0.42 m3/h (ellenorzes: Q=0.422494 m3/h)
 	 A_Z020-02094           :	   1.55 m3/h	 ->   1.78 m3/h (ellenorzes: Q=1.78386 m3/h)
 	 A_Z020-02190           :	   0.18 m3/h	 ->   0.21 m3/h (ellenorzes: Q=0.211247 m3/h)
 	 A_Z020-02484           :	   0.02 m3/h	 ->   0.02 m3/h (ellenorzes: Q=0.0234719 m3/h)
 	 A_Z020-02516           :	   1.04 m3/h	 ->   1.20 m3/h (ellenorzes: Q=1.19706 m3/h)
 	 A_Z020-02525           :	   0.78 m3/h	 ->   0.89 m3/h (ellenorzes: Q=0.891933 m3/h)
 	 A_Z020-02702           :	  34.58 m3/h	 ->  39.69 m3/h (ellenorzes: Q=39.6858 m3/h)
 	 A_Z020-03103           :	   1.19 m3/h	 ->   1.36 m3/h (ellenorzes: Q=1.36138 m3/h)
 	 A_Z020-03681           :	   0.31 m3/h	 ->   0.35 m3/h (ellenorzes: Q=0.35208 m3/h)
 	 A_Z020-03756           :	   0.04 m3/h	 ->   0.05 m3/h (ellenorzes: Q=0.0469439 m3/h)
 	 A_Z020-03757           :	   0.51 m3/h	 ->   0.59 m3/h (ellenorzes: Q=0.586799 m3/h)
 	 A_Z020-03994           :	   0.29 m3/h	 ->   0.33 m3/h (ellenorzes: Q=0.328607 m3/h)
 	 A_Z020-04002           :	   0.04 m3/h	 ->   0.05 m3/h (ellenorzes: Q=0.0469439 m3/h)
 	 A_Z020-04093           :	   0.78 m3/h	 ->   0.89 m3/h (ellenorzes: Q=0.891933 m3/h)
 	 A_Z020-04166           :	   0.57 m3/h	 ->   0.66 m3/h (ellenorzes: Q=0.657214 m3/h)
 	 A_Z020-04214           :	   1.27 m3/h	 ->   1.46 m3/h (ellenorzes: Q=1.45527 m3/h)
 	 A_Z020-04409           :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_Z020-04515           :	   8.42 m3/h	 ->   9.66 m3/h (ellenorzes: Q=9.66202 m3/h)
 	 A_Z020-04559           :	   1.60 m3/h	 ->   1.83 m3/h (ellenorzes: Q=1.83081 m3/h)
 	 A_Z020-04948           :	   0.74 m3/h	 ->   0.84 m3/h (ellenorzes: Q=0.84499 m3/h)
 	 A_Z020-04949           :	   0.41 m3/h	 ->   0.47 m3/h (ellenorzes: Q=0.469439 m3/h)
 	 A_Z020-05044           :	   1.19 m3/h	 ->   1.36 m3/h (ellenorzes: Q=1.36138 m3/h)
 	 A_Z020-05256           :	   0.29 m3/h	 ->   0.33 m3/h (ellenorzes: Q=0.328607 m3/h)
 	 A_Z020-05454           :	   4.19 m3/h	 ->   4.81 m3/h (ellenorzes: Q=4.81262 m3/h)
 	 A_Z020-05496           :	 211.01 m3/h	 -> 242.19 m3/h (ellenorzes: Q=242.194 m3/h)
 	 A_Z020-05629           :	   1.17 m3/h	 ->   1.34 m3/h (ellenorzes: Q=1.3379 m3/h)
 	 A_Z020-05636           :	   2.22 m3/h	 ->   2.55 m3/h (ellenorzes: Q=2.54975 m3/h)
 	 A_Z020-05710           :	   0.47 m3/h	 ->   0.54 m3/h (ellenorzes: Q=0.539855 m3/h)
 	 A_Z020-05795           :	   0.31 m3/h	 ->   0.35 m3/h (ellenorzes: Q=0.35208 m3/h)
 	 A_Z020-06322           :	   0.25 m3/h	 ->   0.28 m3/h (ellenorzes: Q=0.281663 m3/h)
 	 A_Z020-06367           :	   1.17 m3/h	 ->   1.34 m3/h (ellenorzes: Q=1.3379 m3/h)
 	 A_Z020-06623           :	   0.06 m3/h	 ->   0.07 m3/h (ellenorzes: Q=0.0704158 m3/h)
 	 A_Z020-06886           :	   1.04 m3/h	 ->   1.20 m3/h (ellenorzes: Q=1.19706 m3/h)
 	 A_Z020-07952           :	   0.10 m3/h	 ->   0.12 m3/h (ellenorzes: Q=0.11736 m3/h)
 	 A_Z020-07989           :	   1.37 m3/h	 ->   1.57 m3/h (ellenorzes: Q=1.57262 m3/h)
 	 A_Z020-08282           :	   1.04 m3/h	 ->   1.20 m3/h (ellenorzes: Q=1.19706 m3/h)
 	 A_Z020-08294           :	   0.70 m3/h	 ->   0.80 m3/h (ellenorzes: Q=0.798046 m3/h)
 	 A_Z020-08314           :	   2.66 m3/h	 ->   3.05 m3/h (ellenorzes: Q=3.05134 m3/h)
 	 A_Z020-08853           :	   0.12 m3/h	 ->   0.14 m3/h (ellenorzes: Q=0.140832 m3/h)
 	 A_Z020-08948           :	   1.31 m3/h	 ->   1.50 m3/h (ellenorzes: Q=1.50221 m3/h)
 	 A_Z020-09186           :	   0.74 m3/h	 ->   0.84 m3/h (ellenorzes: Q=0.84499 m3/h)
 	 A_Z020-09775           :	   0.65 m3/h	 ->   0.75 m3/h (ellenorzes: Q=0.751102 m3/h)
 	 A_Z020-10639           :	   0.78 m3/h	 ->   0.89 m3/h (ellenorzes: Q=0.891933 m3/h)
 	 A_Z020-10660           :	   0.33 m3/h	 ->   0.38 m3/h (ellenorzes: Q=0.375552 m3/h)
 	 A_Z020-11298           :	   0.35 m3/h	 ->   0.40 m3/h (ellenorzes: Q=0.399022 m3/h)
 	 A_Z020-12755           :	   0.04 m3/h	 ->   0.05 m3/h (ellenorzes: Q=0.0469439 m3/h)
 	 A_Z020-13106           :	   0.08 m3/h	 ->   0.09 m3/h (ellenorzes: Q=0.0938874 m3/h)
 	 A_Z020-13124           :	   0.04 m3/h	 ->   0.05 m3/h (ellenorzes: Q=0.0469439 m3/h)
 	 A_Z020-13520           :	   1.21 m3/h	 ->   1.38 m3/h (ellenorzes: Q=1.38484 m3/h)
 	 A_Z020-14096           :	   0.14 m3/h	 ->   0.16 m3/h (ellenorzes: Q=0.164304 m3/h)
 	 A_Z020-14222           :	 275.34 m3/h	 -> 316.03 m3/h (ellenorzes: Q=316.027 m3/h)
 	 A_Z020-14598           :	 418.89 m3/h	 -> 480.79 m3/h (ellenorzes: Q=480.788 m3/h)
 	 A_Z020-14677           :	  46.71 m3/h	 ->  53.61 m3/h (ellenorzes: Q=53.6101 m3/h)
 	 A_Z020-16004           :	   0.92 m3/h	 ->   1.06 m3/h (ellenorzes: Q=1.05624 m3/h)
 	 A_Z020-16209           :	   0.59 m3/h	 ->   0.68 m3/h (ellenorzes: Q=0.680686 m3/h)
 	 A_Z020-16653           :	   0.25 m3/h	 ->   0.28 m3/h (ellenorzes: Q=0.281663 m3/h)
 	 A_Z020-16943           :	   0.72 m3/h	 ->   0.82 m3/h (ellenorzes: Q=0.821518 m3/h)
 	 A_Z020-17160           :	   0.16 m3/h	 ->   0.19 m3/h (ellenorzes: Q=0.187775 m3/h)
 	 A_Z020-17708           :	   0.63 m3/h	 ->   0.73 m3/h (ellenorzes: Q=0.72763 m3/h)
 	 A_Z020-19767           :	   1.47 m3/h	 ->   1.69 m3/h (ellenorzes: Q=1.68998 m3/h)
 	 A_Z020-19833           :	   0.55 m3/h	 ->   0.63 m3/h (ellenorzes: Q=0.633742 m3/h)
 	 A_Z020-19854           :	   0.37 m3/h	 ->   0.42 m3/h (ellenorzes: Q=0.422494 m3/h)
 	 A_Z020-20077           :	   0.72 m3/h	 ->   0.82 m3/h (ellenorzes: Q=0.821518 m3/h)
 	 A_Z020-20258           :	   0.00 m3/h	 ->   0.00 m3/h (ellenorzes: Q=0 m3/h)
 	 A_Z020-20595           :	   0.02 m3/h	 ->   0.02 m3/h (ellenorzes: Q=0.0234719 m3/h)
 	 A_Z020-21397           :	   3.13 m3/h	 ->   3.59 m3/h (ellenorzes: Q=3.5912 m3/h)
